country,id,name,level
AD,AD-07,Andorra la Vella,parish
AD,AD-02,Canillo,parish
AD,AD-03,Encamp,parish
AD,AD-08,Escaldes-Engordany,parish
AD,AD-04,La Massana,parish
AD,AD-05,Ordino,parish
AD,AD-06,Sant Julià de Lòria,parish
AT,AT-1,Burgenland,state
AT,AT-3,Baixa Àustria,state
AT,AT-5,Salzburg,state
AT,AT-6,Estíria,state
AT,AT-4,Alta Àustria,state
AT,AT-9,Viena,state
AT,AT-8,Vorarlberg,state
BY,BY-HM,Minsk,city
BE,BE-VAN,Anvers,province
BE,BE-BRU,Regió de Brussel·les-Capital,capital region
BE,BE-VOV,Flandes Oriental,province
BE,BE-VBR,Brabant Flamenc,province
BE,BE-VLI,Limburg,province
BE,BE-WLG,Lieja,province
BE,BE-WLX,Luxemburg,province
BE,BE-WAL,Valònia,region
BE,BE-WBR,Brabant Való,province
BE,BE-VWV,Flandes Occidental,province
CA,CA-AB,Alberta,province
CA,CA-BC,Colúmbia Britànica,province
CA,CA-MB,Manitoba,province
CA,CA-NB,Nova Brunsvic,province
CA,CA-NL,Terranova i Labrador,province
CA,CA-NT,Territoris del Nord-oest,territory
CA,CA-NS,Nova Escòcia,province
CA,CA-NU,Nunavut,territory
CA,CA-ON,Ontàrio,province
CA,CA-PE,Illa del Príncep Eduard,province
CA,CA-QC,Quebec,province
CA,CA-SK,Saskatchewan,province
CA,CA-YT,Yukon,territory
CL,CL-AN,Antofagasta,region
CL,CL-ML,Maule,region
CL,CL-RM,Regió Metropolitana de Santiago,region
CL,CL-VS,Valparaíso,region
DK,DK-070,Aarhus,county
DK,DK-040,Bornholm,county
DK,DK-82,Regió de Midtjylland,region
DK,DK-015,Copenhaguen,county
DK,DK-042,Fiònia,county
DK,DK-83,Regió de Syddanmark,region
DK,DK-065,Ringkøbing,county
DK,DK-025,Roskilde,county
DK,DK-035,Comtat de Storstrøm,county
DK,DK-060,Vejle,county
DK,DK-030,Comtat de Sjælland Occidental,county
DK,DK-85,Zelanda,region
EE,EE-37,Comtat de Harju,county
EE,EE-39,Hiiumaa,county
EE,EE-51,Comtat de Järva,county
EE,EE-49,Comtat de Jõgeva,county
EE,EE-59,Comtat de Lääne-Viru,county
EE,EE-57,Comtat de Lääne,county
EE,EE-67,Comtat de Pärnu,county
EE,EE-65,Comtat de Põlva,county
EE,EE-70,Comtat de Rapla,county
EE,EE-74,Saaremaa,county
EE,EE-78,Comtat de Tartu,county
EE,EE-82,Comtat de Valga,county
EE,EE-84,Comtat de Viljandi,county
EE,EE-86,Comtat de Võru,county
FR,FR-01,Ain,metropolitan department
FR,FR-02,Aisne,metropolitan department
FR,FR-03,Alier,metropolitan department
FR,FR-06,Alps Marítims,metropolitan department
FR,FR-A,Alsàcia,metropolitan regions
FR,FR-B,Aquitània,metropolitan regions
FR,FR-08,Regió de les Ardenes,metropolitan department
FR,FR-07,Ardecha,metropolitan department
FR,FR-09,Arieja,metropolitan department
FR,FR-10,Aube,metropolitan department
FR,FR-11,Aude,metropolitan department
FR,FR-12,Avairon,metropolitan department
FR,FR-67,Baix Rin,metropolitan department
FR,FR-13,Boques del Roine,metropolitan department
FR,FR-E,Bretanya,metropolitan regions
FR,FR-14,Calvados,metropolitan department
FR,FR-15,Cantal,metropolitan department
FR,FR-G,Xampanya-Ardenes,metropolitan regions
FR,FR-16,Charente,metropolitan department
FR,FR-17,Charente Marítim,metropolitan department
FR,FR-18,Cher,metropolitan department
FR,FR-CP,Illa Clipperton,dependency
FR,FR-19,Corresa,metropolitan department
FR,FR-2A,Còrsega del Sud,metropolitan department
FR,FR-H,Còrsega,metropolitan regions
FR,FR-23,Cruesa,metropolitan department
FR,FR-22,Costes del Nord,metropolitan department
FR,FR-79,Deux-Sèvres,metropolitan department
FR,FR-24,Dordonya,metropolitan department
FR,FR-25,Doubs,metropolitan department
FR,FR-26,Droma,metropolitan department
FR,FR-91,Essonne,metropolitan department
FR,FR-27,Eure,metropolitan department
FR,FR-28,Eure i Loir,metropolitan department
FR,FR-29,Finisterre,metropolitan department
FR,FR-I,Franc Comtat,metropolitan regions
FR,FR-30,Gard,metropolitan department
FR,FR-32,Gers,metropolitan department
FR,FR-33,Gironda,metropolitan department
FR,FR-GP,Guadalupe,overseas regions
FR,FR-68,Alt Rin,metropolitan department
FR,FR-2B,Alta Còrsega,metropolitan department
FR,FR-31,Alta Garona,metropolitan department
FR,FR-P,Baixa Normandia,metropolitan regions
FR,FR-GF,Guaiana Francesa,overseas regions
FR,FR-43,Alt Loira,metropolitan department
FR,FR-52,Alt Marne,metropolitan department
FR,FR-74,Alta Savoia,metropolitan department
FR,FR-70,Alt Saona,metropolitan department
FR,FR-87,Alta Viena,metropolitan department
FR,FR-05,Alts Alps,metropolitan department
FR,FR-65,Alts Pirineus,metropolitan department
FR,FR-92,Alts del Sena,metropolitan department
FR,FR-34,Erau,metropolitan department
FR,FR-35,Ille i Vilaine,metropolitan department
FR,FR-36,Indre,metropolitan department
FR,FR-37,Indre i Loira,metropolitan department
FR,FR-38,Isèra,metropolitan department
FR,FR-39,Jura,metropolitan department
FR,FR-K,Llenguadoc-Rosselló,metropolitan regions
FR,FR-L,Llemosí,metropolitan regions
FR,FR-41,Loir i Cher,metropolitan department
FR,FR-42,Loira,metropolitan department
FR,FR-44,Loira Atlàntic,metropolitan department
FR,FR-45,Loiret,metropolitan department
FR,FR-47,Òlt i Garona,metropolitan department
FR,FR-48,Losera,metropolitan department
FR,FR-49,Maine i Loira,metropolitan department
FR,FR-50,Manche,metropolitan department
FR,FR-51,Marne,metropolitan department
FR,FR-MQ,Martinica,overseas regions
FR,FR-53,Mayenne,metropolitan department
FR,FR-YT,Mayotte,territorial collectivity
FR,FR-54,Meurthe i Mosel·la,metropolitan department
FR,FR-55,Mosa,metropolitan department
FR,FR-N,Migdia-Pirineus,metropolitan regions
FR,FR-56,Ar Mor-Bihan,metropolitan department
FR,FR-57,Mosel·la,metropolitan department
FR,FR-58,Nièvre,metropolitan department
FR,FR-O,Nord – Pas-de-Calais,metropolitan regions
FR,FR-60,Oise,metropolitan department
FR,FR-61,Orne,metropolitan department
FR,FR-75,París,metropolitan department
FR,FR-62,Pas-de-Calais,metropolitan department
FR,FR-R,País del Loira,metropolitan regions
FR,FR-S,Picardia,metropolitan regions
FR,FR-T,Poitou-Charentes,metropolitan regions
FR,FR-Q,Alta Normandia,metropolitan regions
FR,FR-PF,Polinèsia Francesa,overseas territory
FR,FR-NC,Nova Caledònia,overseas territory
FR,FR-RE,Illa de la Reunió,overseas regions
FR,FR-U,Provença – Alps – Costa Blava,metropolitan regions
FR,FR-63,Puèi Domat,metropolitan department
FR,FR-64,Pirineus Atlàntics,metropolitan department
FR,FR-66,Pirineus Orientals,metropolitan department
FR,FR-69,Roine,metropolitan department
FR,FR-V,Roine-Alps,metropolitan regions
FR,FR-72,Sarthe,metropolitan department
FR,FR-73,Savoia,metropolitan department
FR,FR-71,Saona i Loira,metropolitan department
FR,FR-76,Sena Marítim,metropolitan department
FR,FR-93,Sena Saint-Denis,metropolitan department
FR,FR-77,Sena i Marne,metropolitan department
FR,FR-80,Somme,metropolitan department
FR,FR-82,Tarn i Garona,metropolitan department
FR,FR-90,Territori de Belfort,metropolitan department
FR,FR-94,Val-de-Marne,metropolitan department
