id,name,level
CH-AG,Argòvia,canton
CH-AR,Appenzell Ausser-Rhoden,canton
CH-AI,Appenzell Inner-Rhoden,canton
CH-BL,Basilea-Camp,canton
CH-BS,Basilea-Ciutat,canton
CH-BE,Berna,canton
CH-FR,Friburg,canton
CH-GL,Glarus,canton
CH-GR,Grisons,canton
CH-JU,Jura,canton
CH-NE,Neuchâtel,canton
CH-NW,Nidwalden,canton
CH-OW,Obwalden,canton
CH-SH,Schaffhausen,canton
CH-SZ,Schwyz,canton
CH-SO,Solothurn,canton
CH-TG,Turgòvia,canton
CH-TI,Cantó de Ticino,canton
CH-VS,Valais,canton
CH-VD,Vaud,canton
CH-ZG,Zug,canton
CH-GE,Ginebra,canton
CH-LU,Lucerna,canton
CH-ZH,Zuric,canton
