id,name,level
ES-C,La Corunya,province
ES-AB,Albacete,province
ES-A,Alacant,province
ES-AL,Almeria,province
ES-AN,Andalusia,
ES-AS,Astúries,autonomous community
ES-BA,Badajoz,province
ES-IB,Illes Balears,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Cadis,province
ES-S,Cantàbria,province
ES-CS,Castelló,province
ES-CM,Castella - la Manxa,autonomous community
ES-CL,Castella i Lleó,autonomous community
ES-CT,Catalunya,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CO,Córdoba,province
ES-EX,Extremadura,autonomous community
ES-SS,Guipúscoa,province
ES-GI,Girona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Osca,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,León,province
ES-L,Lleida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Múrcia,autonomous community
ES-MA,Màlaga,province
ES-NC,Navarra,autonomous community
ES-OR,Ourense,province
ES-P,Palència,province
ES-LO,Rioja,province
ES-PO,Pontevedra,province
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segòvia,province
ES-SE,Sevilla,province
ES-SO,Sòria,province
ES-T,Tarragona,province
ES-TE,Terol,province
ES-TO,Toledo,province
ES-V,València,province
ES-VC,País Valencià,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Saragossa,province
ES-VI,Àlaba,province
