id,name,level
FR-01,Ain,metropolitan department
FR-02,Aisne,metropolitan department
FR-03,Alier,metropolitan department
FR-06,Alps Marítims,metropolitan department
FR-A,Alsàcia,metropolitan regions
FR-B,Aquitània,metropolitan regions
FR-08,Regió de les Ardenes,metropolitan department
FR-07,Ardecha,metropolitan department
FR-09,Arieja,metropolitan department
FR-10,Aube,metropolitan department
FR-11,Aude,metropolitan department
FR-12,Avairon,metropolitan department
FR-67,Baix Rin,metropolitan department
FR-13,Boques del Roine,metropolitan department
FR-E,Bretanya,metropolitan regions
FR-14,Calvados,metropolitan department
FR-15,Cantal,metropolitan department
FR-G,Xampanya-Ardenes,metropolitan regions
FR-16,Charente,metropolitan department
FR-17,Charente Marítim,metropolitan department
FR-18,Cher,metropolitan department
FR-CP,Illa Clipperton,dependency
FR-19,Corresa,metropolitan department
FR-2A,Còrsega del Sud,metropolitan department
FR-H,Còrsega,metropolitan regions
FR-23,Cruesa,metropolitan department
FR-22,Costes del Nord,metropolitan department
FR-79,Deux-Sèvres,metropolitan department
FR-24,Dordonya,metropolitan department
FR-25,Doubs,metropolitan department
FR-26,Droma,metropolitan department
FR-91,Essonne,metropolitan department
FR-27,Eure,metropolitan department
FR-28,Eure i Loir,metropolitan department
FR-29,Finisterre,metropolitan department
FR-I,Franc Comtat,metropolitan regions
FR-30,Gard,metropolitan department
FR-32,Gers,metropolitan department
FR-33,Gironda,metropolitan department
FR-GP,Guadalupe,overseas regions
FR-68,Alt Rin,metropolitan department
FR-2B,Alta Còrsega,metropolitan department
FR-31,Alta Garona,metropolitan department
FR-P,Baixa Normandia,metropolitan regions
FR-GF,Guaiana Francesa,overseas regions
FR-43,Alt Loira,metropolitan department
FR-52,Alt Marne,metropolitan department
FR-74,Alta Savoia,metropolitan department
FR-70,Alt Saona,metropolitan department
FR-87,Alta Viena,metropolitan department
FR-05,Alts Alps,metropolitan department
FR-65,Alts Pirineus,metropolitan department
FR-92,Alts del Sena,metropolitan department
FR-34,Erau,metropolitan department
FR-35,Ille i Vilaine,metropolitan department
FR-36,Indre,metropolitan department
FR-37,Indre i Loira,metropolitan department
FR-38,Isèra,metropolitan department
FR-39,Jura,metropolitan department
FR-K,Llenguadoc-Rosselló,metropolitan regions
FR-L,Llemosí,metropolitan regions
FR-41,Loir i Cher,metropolitan department
FR-42,Loira,metropolitan department
FR-44,Loira Atlàntic,metropolitan department
FR-45,Loiret,metropolitan department
FR-47,Òlt i Garona,metropolitan department
FR-48,Losera,metropolitan department
FR-49,Maine i Loira,metropolitan department
FR-50,Manche,metropolitan department
FR-51,Marne,metropolitan department
FR-MQ,Martinica,overseas regions
FR-53,Mayenne,metropolitan department
FR-YT,Mayotte,territorial collectivity
FR-54,Meurthe i Mosel·la,metropolitan department
FR-55,Mosa,metropolitan department
FR-N,Migdia-Pirineus,metropolitan regions
FR-56,Ar Mor-Bihan,metropolitan department
FR-57,Mosel·la,metropolitan department
FR-58,Nièvre,metropolitan department
FR-O,Nord – Pas-de-Calais,metropolitan regions
FR-60,Oise,metropolitan department
FR-61,Orne,metropolitan department
FR-75,París,metropolitan department
FR-62,Pas-de-Calais,metropolitan department
FR-R,País del Loira,metropolitan regions
FR-S,Picardia,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Alta Normandia,metropolitan regions
FR-PF,Polinèsia Francesa,overseas territory
FR-NC,Nova Caledònia,overseas territory
FR-RE,Illa de la Reunió,overseas regions
FR-U,Provença – Alps – Costa Blava,metropolitan regions
FR-63,Puèi Domat,metropolitan department
FR-64,Pirineus Atlàntics,metropolitan department
FR-66,Pirineus Orientals,metropolitan department
FR-69,Roine,metropolitan department
FR-V,Roine-Alps,metropolitan regions
FR-72,Sarthe,metropolitan department
FR-73,Savoia,metropolitan department
FR-71,Saona i Loira,metropolitan department
FR-76,Sena Marítim,metropolitan department
FR-93,Sena Saint-Denis,metropolitan department
FR-77,Sena i Marne,metropolitan department
FR-80,Somme,metropolitan department
FR-82,Tarn i Garona,metropolitan department
FR-90,Territori de Belfort,metropolitan department
FR-94,Val-de-Marne,metropolitan department
FR-83,Var,metropolitan department
FR-84,Valclusa,metropolitan department
FR-85,Vendée,metropolitan department
FR-86,Viena,metropolitan department
FR-88,Vosges,metropolitan department
FR-89,Yonne,metropolitan department
FR-78,Yvelines,metropolitan department
FR-MF,Saint-Martin,overseas territorial collectivity
FR-BL,Saint Barthélemy,overseas territorial collectivity
FR-PM,Saint-Pierre i Miquelon,territorial collectivity
FR-WF,Wallis i Futuna,overseas territory
