id,name,level
IN-AN,Illes Andaman i Nicobar,union territory
IN-AP,Andhra Pradesh,state
IN-AR,Arunachal Pradesh,state
IN-AS,Assam,state
IN-BR,Bihar,state
IN-CH,Chandigar,union territory
IN-CT,Chhattisgarh,state
IN-DN,Dadra i Nagar Haveli,union territory
IN-DD,Daman i Diu,union territory
IN-DL,Delhi,union territory
IN-GA,Goa,state
IN-GJ,Gujarat,state
IN-HR,Haryana,state
IN-HP,Himachal Pradesh,state
IN-JK,Jammu i Caixmir,state
IN-JH,Jharkhand,state
IN-KA,Estat de Karnataka,state
IN-KL,Kerala,state
IN-LD,Lakshadweep,union territory
IN-MP,Madhya Pradesh,state
IN-MH,Maharashtra,state
IN-MN,Manipur,state
IN-ML,Meghalaya,state
IN-MZ,Mizoram,state
IN-NL,Nagaland,state
IN-OR,Orissa,state
IN-PY,Pondicherry,union territory
IN-PB,Panjab,state
IN-RJ,Rajasthan,state
IN-SK,Sikkim,state
IN-TN,Tamil Nadu,state
IN-TR,Tripura,state
IN-UP,Uttar Pradesh,state
IN-UT,Uttarakhand,state
IN-WB,Bengala Occidental,state
