id,name,level
NL-AW,Aruba,country
NL-BQ1,Bonaire,special municipality
NL-CW,Curaçao,country
NL-DR,Drenthe,province
NL-FL,Flevoland,province
NL-FR,Província de Frísia,province
NL-GE,Gelderland,province
NL-GR,Groningen,province
NL-LI,Limburg,province
NL-NB,Brabant Septentrional,province
NL-NH,Holanda Septentrional,province
NL-OV,Overijssel,province
NL-BQ2,Illa de Saba,special municipality
NL-BQ3,Sint Eustatius,special municipality
NL-SX,Sint Maarten,country
NL-ZH,Holanda Meridional,province
NL-UT,Utrecht,province
NL-ZE,Zelanda,province
