id,name,level
PL-WP,Voivodat de Gran Polònia,voivodship
PL-KP,Voivodat de Cuiàvia i Pomerània,voivodship
PL-MA,Voivodat de Petita Polònia,voivodship
PL-DS,Voivodat de Baixa Silèsia,voivodship
PL-LU,Voivodat de Lublin,voivodship
PL-LB,Voivodat de Lubusz,voivodship
PL-MZ,Voivodat de Masòvia,voivodship
PL-PK,Voivodat de Subcarpàcia,voivodship
PL-PD,Voivodat de Podlàquia,voivodship
PL-PM,Voivodat de Pomerània,voivodship
PL-SL,Voivodat de Silèsia,voivodship
PL-WN,Voivodat de Warmia i Mazury,voivodship
PL-ZP,Voivodat de Pomerània Occidental,voivodship
PL-SK,Voivodat de Santa Creu,voivodship
