id,name,level
RO-AR,Arad,county
RO-BC,Bacău,county
RO-BN,Província de Bistrița-Năsăud,county
RO-BT,Botoşani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,Bucarest,city
RO-CS,Província de Caraş-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-DJ,Província de Dolj,county
RO-DB,Dâmboviţa,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Província de Gorj,county
RO-HR,Província de Harghita,county
RO-IS,Iași,county
RO-MH,Província de Mehedinți,county
RO-MS,Província de Mureș,county
RO-NT,Província de Neamț,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Província de Teleorman,county
RO-VS,Vaslui,county
RO-VL,Província de Vâlcea,county
