id,name,level
SE-K,Comtat de Blekinge,county
SE-W,Comtat de Dalarna,county
SE-I,Comtat de Gotland,county
SE-X,Comtat de Gävleborg,county
SE-N,Comtat de Halland,county
SE-Z,Comtat de Jämtland,county
SE-F,Comtat de Jönköping,county
SE-H,Comtat de Kalmar,county
SE-G,Comtat de Kronoberg,county
SE-BD,Comtat de Norrbotten,county
SE-D,Comtat de Södermanland,county
SE-S,Comtat de Värmland,county
SE-AC,Comtat de Västerbotten,county
SE-Y,Comtat de Västernorrland,county
SE-U,Comtat de Västmanland,county
SE-O,Comtat de Västra Götaland,county
