id,name,level
UA-71,Província de Txerkassy,region
UA-74,Província de Txerníhiv,region
UA-77,Província de Txernivtsí,region
UA-43,Crimea,autonomous republic
UA-12,Província de Dnipropetrovsk,region
UA-14,Província de Donetsk,region
UA-63,Província de Khàrkiv,region
UA-65,Província de Kherson,region
UA-68,Província de Khmelnytskyi,region
UA-30,Kíev,region
UA-32,Província de Kíev,region
UA-35,Província de Kirovohrad,region
UA-09,Província de Luhansk,region
UA-46,Província de Lviv,region
UA-48,Província de Mykolàïv,region
UA-53,Província de Poltava,region
UA-56,Província de Rivne,region
UA-40,Sebastòpol,region
UA-59,Província de Sumy,region
UA-61,Província de Ternópill,region
UA-05,Província de Vínnytsia,region
UA-07,Província de Volínia,region
UA-21,Transcarpàcia,region
UA-23,Província de Zaporíjjia,region
UA-18,Província de Jytómyr,region
