id,name,level
GB-ABE,Aberdeen,council area (scotland)
GB-ABD,Aberdeenshire,council area (scotland)
GB-ANS,Angus,council area (scotland)
GB-ARM,Armagh,district council area (northern ireland)
GB-BNS,Barnsley,metropolitan district
GB-BDF,Bedfordshire,unitary authority
GB-BFS,Belfast,district council area (northern ireland)
GB-BIR,Birmingham,metropolitan district
GB-BPL,Blackpool,unitary authority
GB-BOL,Bolton,metropolitan district
GB-BMH,Bournemouth,unitary authority
GB-BRD,Bradford,metropolitan district
GB-BNH,Brighton and Hove,unitary authority
GB-BST,Bristol,unitary authority
GB-BKM,Buckinghamshire,two-tier county
GB-BUR,Bury,metropolitan district
GB-CAM,Cambridgeshire,two-tier county
GB-CMD,Camden,borough
GB-CRF,Cardiff,unitary authority (wales)
GB-CHS,Cheshire,
GB-CWY,Conwy,unitary authority (wales)
GB-CON,Cornwall,unitary authority
GB-COV,Coventry,metropolitan district
GB-BDG,Barking and Dagenham,borough
GB-FER,County Fermanagh,district council area (northern ireland)
GB-CMA,Cumbria,two-tier county
GB-DER,Derby,unitary authority
GB-DBY,Derbyshire,two-tier county
GB-DRY,Londonderry,district council area (northern ireland)
GB-DEV,Devon,two-tier county
GB-DNC,Doncaster,metropolitan district
GB-DOR,Dorset,two-tier county
GB-DUD,Dudley,metropolitan district
GB-DND,Dundee,council area (scotland)
GB-DUR,Durham,unitary authority
GB-EDU,East Dunbartonshire,council area (scotland)
GB-ELN,East Lothian,council area (scotland)
GB-ERW,East Renfrewshire,council area (scotland)
GB-ESX,East Sussex,two-tier county
GB-EDH,Edinburgh,council area (scotland)
GB-ESS,Essex,two-tier county
GB-FAL,Falkirk,council area (scotland)
GB-FIF,Fife,council area (scotland)
GB-GLG,Glasgow,council area (scotland)
GB-GRE,Greenwich,borough
GB-GWN,Gwynedd,unitary authority (wales)
GB-HAM,Hampshire,two-tier county
GB-HPL,Hartlepool,unitary authority
GB-HRT,Hertfordshire,two-tier county
GB-IVC,Inverclyde,council area (scotland)
GB-HMF,Hammersmith and Fulham,borough
GB-HAV,Havering,borough
GB-LND,City of London,city corporation
GB-IOW,Isle of Wight,unitary authority
GB-IOS,Isles of Scilly,
GB-ISL,Islington,borough
GB-KEN,Kent,two-tier county
GB-KHL,Kingston upon Hull,unitary authority
GB-LBH,Lambeth,borough
GB-LAN,Lancashire,two-tier county
GB-LDS,Leeds,metropolitan district
GB-LCE,Leicester,unitary authority
GB-LIN,Lincolnshire,two-tier county
GB-LSB,Lisburn,district council area (northern ireland)
GB-LIV,Liverpool,metropolitan district
GB-NWM,Newham,borough
GB-LUT,Luton,unitary authority
GB-MAN,Manchester,metropolitan district
GB-MDB,Middlesbrough,unitary authority
GB-MLN,Midlothian,council area (scotland)
GB-MIK,Milton Keynes,unitary authority
GB-NET,Newcastle upon Tyne,metropolitan district
GB-NWP,Newport,unitary authority (wales)
GB-NFK,Norfolk,two-tier county
GB-NLK,North Lanarkshire,council area (scotland)
GB-RIC,Richmond upon Thames,borough
GB-NGM,Nottingham,unitary authority
GB-OLD,Oldham,metropolitan district
GB-OMH,Omagh,district council area (northern ireland)
GB-ORK,Orkneyøerne,council area (scotland)
GB-OXF,Oxfordshire,two-tier county
GB-PKN,Perth and Kinross,council area (scotland)
GB-PTE,Peterborough,unitary authority
GB-PLY,Plymouth,unitary authority
GB-POL,Poole,unitary authority
GB-POR,Portsmouth,unitary authority
GB-RDG,Reading,unitary authority
GB-RFW,Renfrewshire,council area (scotland)
GB-ROT,Rotherham,metropolitan district
GB-SHF,Sheffield,metropolitan district
GB-ZET,Shetlandsøerne,council area (scotland)
GB-SHR,Shropshire,unitary authority
GB-SLG,Slough,unitary authority
GB-SOM,Somerset,two-tier county
GB-STH,Southampton,unitary authority
GB-SOS,Southend-on-Sea,unitary authority
GB-STS,Staffordshire,two-tier county
GB-STG,Stirling,council area (scotland)
GB-SKP,Stockport,metropolitan district
GB-STE,Stoke-on-Trent,unitary authority
GB-SFK,Suffolk,two-tier county
GB-SND,Sunderland,metropolitan district
GB-SRY,Surrey,two-tier county
GB-STN,Sutton,borough
ENG,England,country
GB-TWH,Tower Hamlets,borough
GB-WFT,Waltham Forest,borough
NIR,Nordirland,country
SCT,Skotland,country
GB-SWA,Swansea,unitary authority (wales)
GB-SWD,Swindon,unitary authority
GB-TRF,Trafford,metropolitan district
GB-WKF,Wakefield,metropolitan district
WLS,Wales,country
GB-WLL,Walsall,metropolitan district
GB-WAR,Warwickshire,two-tier county
GB-WDU,West Dunbartonshire,council area (scotland)
GB-WLN,West Lothian,council area (scotland)
GB-WSX,West Sussex,two-tier county
GB-WSM,Westminster,borough
GB-WGN,Wigan,metropolitan district
GB-WIL,Wiltshire,unitary authority
GB-WLV,Wolverhampton,metropolitan district
GB-WOR,Worcestershire,two-tier county
GB-WRX,Wrexham,unitary authority (wales)
GB-YOR,York,unitary authority
