id,name,level
IT-65,Abruzzo,region
IT-AG,Agrigento,province
IT-AN,Ancona,province
IT-AO,Aosta,province
IT-AR,Arezzo,province
IT-BA,Bari,province
IT-77,Basilicata,region
IT-BL,Belluno,province
IT-BN,Benevento,province
IT-BG,Bergamo,province
IT-BO,Bologna,province
IT-BZ,Bolzano,province
IT-BS,Brescia,province
IT-BR,Brindisi,province
IT-CA,Cagliari,province
IT-78,Calabrien,region
IT-72,Campania,region
IT-CT,Catania,province
IT-CH,Chieti,province
IT-CO,Como,province
IT-CS,Cosenza,province
IT-CN,Cuneo,province
IT-45,Emilia-Romagna,region
IT-FE,Ferrara,province
IT-FI,Firenze,province
IT-FG,Foggia,province
IT-36,Friuli-Venezia Giulia,region
IT-GE,Genova,province
IT-CI,Carbonia-Iglesias,province
IT-FC,Forlì-Cesena,province
IT-75,Apulien,region
IT-SP,La Spezia,province
IT-62,Lazio,region
IT-LE,Lecce,province
IT-LC,Lecco,province
IT-42,Liguria,region
IT-LI,Livorno,province
IT-25,Lombardiet,region
IT-LU,Lucca,province
IT-MN,Mantova,province
IT-57,Marche,region
IT-MT,Matera,province
IT-ME,Messina,province
IT-MI,Milano,province
IT-MO,Modena,province
IT-67,Molise,region
IT-NA,Napoli,province
IT-NO,Novara,province
IT-NU,Nuoro,province
IT-PD,Padova,province
IT-PA,Palermo,province
IT-PR,Parma,province
IT-PV,Pavia,province
IT-PG,Perugia,province
IT-PE,Pescara,province
IT-PC,Piacenza,province
IT-21,Piemonte,region
IT-PI,Pisa,province
IT-PT,Pistoia,province
IT-PN,Pordenone,province
IT-PO,Prato,province
IT-MS,Massa-Carrara,province
IT-MA,Medio Campidano,province
IT-MB,Monza e Brianza,province
IT-OG,Ogliastra,province
IT-OL,Olbia-Tempio,province
IT-PU,Pesaro e Urbino,province
IT-RA,Ravenna,province
IT-RC,Reggio di Calabria,province
IT-LT,Latino,province
IT-VB,Verbano-Cusio-Ossola,province
IT-RI,Rieti,province
IT-RN,Rimini,province
IT-RM,Roma,province
IT-88,Sardinien,region
IT-SS,Sassari,province
IT-SV,Savona,province
IT-82,Sicilien,region
IT-SI,Siena,province
IT-SO,Sondrio,province
IT-TA,Taranto,province
IT-TE,Teramo,province
IT-32,Trentino-Sydtyrol,region
IT-TN,Trento,province
IT-TS,Trieste,province
IT-TO,Torino,province
IT-52,Toscana,region
IT-UD,Udine,province
IT-55,Umbria,region
IT-VA,Varese,province
IT-34,Veneto,region
IT-VE,Venedig,province
IT-VC,Vercelli,province
IT-VR,Verona,province
IT-VI,Vicenza,province
IT-VT,Viterbo,province
