id,name,level
PL-WP,Województwo wielkopolskie,voivodship
PL-KP,Województwo kujawsko-pomorskie,voivodship
PL-MA,Województwo małopolskie,voivodship
PL-DS,Województwo dolnośląskie,voivodship
PL-LU,Województwo lubelskie,voivodship
PL-LB,Województwo lubuskie,voivodship
PL-MZ,Województwo mazowieckie,voivodship
PL-OP,Województwo opolskie,voivodship
PL-PK,Województwo podkarpackie,voivodship
PL-PD,Województwo podlaskie,voivodship
PL-PM,Województwo pomorskie,voivodship
PL-SL,Województwo śląskie,voivodship
PL-WN,Województwo warmińsko-mazurskie,voivodship
PL-ZP,Województwo zachodniopomorskie,voivodship
PL-SK,Województwo świętokrzyskie,voivodship
