Abruzzo (IT-65)
Agrigento (IT-AG)
Ancona (IT-AN)
Aosta (IT-AO)
Arezzo (IT-AR)
Bari (IT-BA)
Basilicata (IT-77)
Belluno (IT-BL)
Benevento (IT-BN)
Bergamo (IT-BG)
Bologna (IT-BO)
Bolzano (IT-BZ)
Brescia (IT-BS)
Brindisi (IT-BR)
Cagliari (IT-CA)
Calabrien (IT-78)
Campania (IT-72)
Catania (IT-CT)
Chieti (IT-CH)
Como (IT-CO)
Cosenza (IT-CS)
Cuneo (IT-CN)
Emilia-Romagna (IT-45)
Ferrara (IT-FE)
Firenze (IT-FI)
Foggia (IT-FG)
Friuli-Venezia Giulia (IT-36)
Genova (IT-GE)
Carbonia-Iglesias (IT-CI)
Forlì-Cesena (IT-FC)
Apulien (IT-75)
La Spezia (IT-SP)
Lazio (IT-62)
Lecce (IT-LE)
Lecco (IT-LC)
Liguria (IT-42)
Livorno (IT-LI)
Lombardiet (IT-25)
Lucca (IT-LU)
Mantova (IT-MN)
Marche (IT-57)
Matera (IT-MT)
Messina (IT-ME)
Milano (IT-MI)
Modena (IT-MO)
Molise (IT-67)
Napoli (IT-NA)
Novara (IT-NO)
Nuoro (IT-NU)
Padova (IT-PD)
Palermo (IT-PA)
Parma (IT-PR)
Pavia (IT-PV)
Perugia (IT-PG)
Pescara (IT-PE)
Piacenza (IT-PC)
Piemonte (IT-21)
Pisa (IT-PI)
Pistoia (IT-PT)
Pordenone (IT-PN)
Prato (IT-PO)
Massa-Carrara (IT-MS)
Medio Campidano (IT-MA)
Monza e Brianza (IT-MB)
Ogliastra (IT-OG)
Olbia-Tempio (IT-OL)
Pesaro e Urbino (IT-PU)
Ravenna (IT-RA)
Reggio di Calabria (IT-RC)
Latino (IT-LT)
Verbano-Cusio-Ossola (IT-VB)
Rieti (IT-RI)
Rimini (IT-RN)
Roma (IT-RM)
Sardinien (IT-88)
Sassari (IT-SS)
Savona (IT-SV)
Sicilien (IT-82)
Siena (IT-SI)
Sondrio (IT-SO)
Taranto (IT-TA)
Teramo (IT-TE)
Trentino-Sydtyrol (IT-32)
Trento (IT-TN)
Trieste (IT-TS)
Torino (IT-TO)
Toscana (IT-52)
Udine (IT-UD)
Umbria (IT-55)
Varese (IT-VA)
Veneto (IT-34)
Venedig (IT-VE)
Vercelli (IT-VC)
Verona (IT-VR)
Vicenza (IT-VI)
Viterbo (IT-VT)
