id,name,level
CH-AG,Kanton Aargau,canton
CH-AR,Kanton Appenzell Ausserrhoden,canton
CH-AI,Kanton Appenzell Innerrhoden,canton
CH-BL,Kanton Basel-Landschaft,canton
CH-BS,Kanton Basel-Stadt,canton
CH-BE,Bern,canton
CH-FR,Freiburg im Üechtland,canton
CH-GL,Glarus,canton
CH-GR,Kanton Graubünden,canton
CH-JU,Jura,canton
CH-NE,Neuenburg NE,canton
CH-NW,Kanton Nidwalden,canton
CH-OW,Kanton Obwalden,canton
CH-SG,St. Gallen,canton
CH-SH,Schaffhausen,canton
CH-SZ,Schwyz,canton
CH-SO,Solothurn,canton
CH-TG,Kanton Thurgau,canton
CH-TI,Kanton Tessin,canton
CH-UR,Uri,canton
CH-VS,Kanton Wallis,canton
CH-VD,Kanton Waadt,canton
CH-ZG,Zug,canton
CH-GE,Genf,canton
CH-LU,Luzern,canton
CH-ZH,Zürich,canton
