id,name,level
NL-AW,Aruba,country
NL-BQ1,Bonaire,special municipality
NL-CW,Curaçao,country
NL-DR,Provinz Drenthe,province
NL-FL,Provinz Flevoland,province
NL-FR,Provinz Friesland,province
NL-GE,Provinz Gelderland,province
NL-GR,Groningen,province
NL-LI,Limburg,province
NL-NB,Provinz Nordbrabant,province
NL-NH,Provinz Nordholland,province
NL-OV,Provinz Overijssel,province
NL-BQ2,Saba,special municipality
NL-BQ3,Sint Eustatius,special municipality
NL-SX,Sint Maarten,country
NL-ZH,Provinz Südholland,province
NL-UT,Utrecht,province
NL-ZE,Provinz Zeeland,province
