id,name,level
PL-WP,Woiwodschaft Großpolen,voivodship
PL-KP,Woiwodschaft Kujawien-Pommern,voivodship
PL-MA,Woiwodschaft Kleinpolen,voivodship
PL-DS,Woiwodschaft Niederschlesien,voivodship
PL-LU,Woiwodschaft Lublin,voivodship
PL-LB,Woiwodschaft Lebus,voivodship
PL-MZ,Woiwodschaft Masowien,voivodship
PL-OP,Woiwodschaft Oppeln,voivodship
PL-PK,Woiwodschaft Karpatenvorland,voivodship
PL-PD,Woiwodschaft Podlachien,voivodship
PL-PM,Woiwodschaft Pommern,voivodship
PL-SL,Woiwodschaft Schlesien,voivodship
PL-WN,Woiwodschaft Ermland-Masuren,voivodship
PL-ZP,Woiwodschaft Westpommern,voivodship
PL-SK,Woiwodschaft Heiligkreuz,voivodship
