id,name,level
RO-AR,Arad,county
RO-BC,Bacău,county
RO-BN,Kreis Bistrița-Năsăud,county
RO-BT,Botoșani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,Bukarest,city
RO-BZ,Buzău,county
RO-CS,Kreis Caraș-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-CV,Covasna,county
RO-CL,Călărași,county
RO-DJ,Kreis Dolj,county
RO-DB,Dâmbovița,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Kreis Gorj,county
RO-HR,Kreis Harghita,county
RO-HD,Hunedoara,county
RO-IL,Ialomița,county
RO-IS,Iași,county
RO-IF,Kreis Ilfov,county
RO-MM,Komitat Máramaros,county
RO-MH,Kreis Mehedinți,county
RO-MS,Kreis Mureș,county
RO-NT,Kreis Neamț,county
RO-PH,Prahova,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-SJ,Salaj,county
RO-TR,Kreis Teleorman,county
RO-TM,Timiș,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VL,Kreis Vâlcea,county
