id,name,level
RS-00,Belgrad,city
RS-14,Okrug Bor,district
RS-11,Okrug Braničevo,district
RS-02,Okrug Srednji Banat,district
RS-23,Okrug Jablanica,district
RS-09,Okrug Kolubara,district
RS-29,Okrug Kosovo-Pomoravlje,district
RS-25,Okrug Kosovo,district
RS-08,Okrug Mačva,district
RS-17,Okrug Moravica,district
RS-20,Nišavski okrug,district
RS-03,Okrug Severni Banat,district
RS-01,Okrug Severna Bačka,district
RS-22,Okrug Pirot,district
RS-10,Okrug Podunavlje,district
RS-13,Okrug Pomoravlje,district
RS-24,Okrug Pčinja,district
RS-19,Okrug Rasina,district
RS-04,Okrug Južni Banat,district
RS-07,Okrug Srem,district
RS-16,Okrug Zlatibor,district
RS-12,Okrug Šumadija,district
RS-26,Okrug Peć,district
