id,name,level
UA-71,Oblast Tscherkassy,region
UA-74,Oblast Tschernihiw,region
UA-77,Oblast Tscherniwzi,region
UA-43,Krim,autonomous republic
UA-12,Oblast Dnipropetrowsk,region
UA-14,Oblast Donezk,region
UA-26,Oblast Iwano-Frankiwsk,region
UA-63,Oblast Charkiw,region
UA-65,Oblast Cherson,region
UA-68,Oblast Chmelnyzkyj,region
UA-30,Kiew,region
UA-32,Oblast Kiew,region
UA-35,Oblast Kirowohrad,region
UA-09,Oblast Luhansk,region
UA-46,Oblast Lwiw,region
UA-48,Oblast Mykolajiw,region
UA-51,Oblast Odessa,region
UA-53,Oblast Poltawa,region
UA-56,Oblast Riwne,region
UA-40,Sewastopol,region
UA-59,Oblast Sumy,region
UA-61,Oblast Ternopil,region
UA-05,Oblast Winnyzja,region
UA-07,Oblast Wolhynien,region
UA-21,Oblast Transkarpatien,region
UA-23,Oblast Saporischschja,region
UA-18,Oblast Schytomyr,region
