id,name,level
AF-BDS,Badakhshān,province
AF-BGL,Baghlan,province
AF-BAL,Balkh,province
AF-BDG,Bādghīs,province
AF-BAM,Bamyan,province
AF-DAY,Dāykundī,province
AF-FRA,Farah,province
AF-FYB,Fāryāb,province
AF-GHA,Ghazni,province
AF-GHO,Ghōr Province,province
AF-HEL,Helmand Province,province
AF-HER,Herat,province
AF-JOW,Jowzjan Province,province
AF-KAN,Kandahar,province
AF-KHO,Khost,province
AF-KNR,Kunar,province
AF-KDZ,Kunduz,province
AF-KAB,Kabul,province
AF-KAP,Kapisa Province,province
AF-LAG,Laghman Province,province
AF-LOW,Lōgar,province
AF-NAN,Nangarhar Province,province
AF-NIM,Nīmrōz,province
AF-NUR,Nūristān,province
AF-PIA,Paktia Province,province
AF-PKA,Paktika Province,province
AF-PAN,Panjshayr,province
AF-PAR,Parwān,province
AF-SAM,Samangan,province
AF-SAR,Sar-e Pul,province
AF-TAK,Takhar,province
AF-URU,Uruzgān,province
AF-ORU,Uruzgān,province
AF-WAR,Wardak,province
AF-ZAB,Zābul,province
