id,name,level
AR-B,Buenos Aires,province
AR-K,Catamarca,province
AR-H,Chaco,province
AR-U,Chubut,province
AR-C,Buenos Aires,federal district
AR-W,Corrientes,province
AR-X,Córdoba,province
AR-E,Entre Ríos,province
AR-P,Geography of Taiwan,province
AR-Y,Jujuy Province,province
AR-L,La Pampa,province
AR-F,Rioja,province
AR-M,Mendoza,province
AR-N,Misiones Province,province
AR-Q,Neuquén,province
AR-R,Rio Negro,province
AR-A,Salta,province
AR-J,San Juan,province
AR-D,San Luis,province
AR-Z,Santa Cruz,province
AR-S,Santa Fe,province
AR-G,Santiago del Estero,province
AR-V,Tierra del Fuego,province
AR-T,Tucumán Province,province
