id,name,level
AZ-ABS,Absheron,district
AZ-AGC,Ağcabədi,district
AZ-AGM,Agdam,district
AZ-AGS,Aqdash,district
AZ-AGA,Ağstafa,district
AZ-AGU,Aksu,district
AZ-AST,Astara,district
AZ-BAB,Babäk,district
AZ-BA,Baki,municipality
AZ-BAL,Balakən,district
AZ-BEY,Beylagan,district
AZ-BIL,Biläsuvar,district
AZ-BAR,Barda,district
AZ-CUL,Julfa,district
AZ-CAB,Cəbrayil,district
AZ-CAL,Cälilabab,district
AZ-DAS,Daskäsän,district
AZ-DAV,Şabran,district
AZ-FUZ,Füzuli,district
AZ-GOR,Goranboy,district
AZ-GAD,Gädäbäy,district
AZ-GYG,Goygol,district
AZ-GOY,Goychay,district
AZ-GA,Ganja,municipality
AZ-HAC,Hajigabul Rayon,district
AZ-IMI,Imishli Rayon,district
AZ-ISM,İsmayıllı,district
AZ-KAL,Kälbäcär,district
AZ-KUR,Kürdəmir,district
AZ-KAN,Kǝngǝrli,district
AZ-LAC,Laçin,district
AZ-LER,Lerik,district
AZ-LAN,Lankaran,district
AZ-LA,Lankaran,municipality
AZ-MAS,Masallı,district
AZ-MI,Mingachevir,municipality
AZ-NA,Naftalan,municipality
AZ-NX,Nakhchivan,autonomous republic
AZ-NV,Nakhchivan,municipality
AZ-NEF,Neftçala,district
AZ-OGU,Oguz,district
AZ-ORD,Ordubad,district
AZ-QAX,Qakh,district
AZ-QAZ,Gazakh,district
AZ-QOB,Qobustan,district
AZ-QBA,Quba,district
AZ-QBI,Qubadlı,district
AZ-QUS,Qusar Rayon,district
AZ-QAB,Qabala,district
AZ-SAT,Saatly Rayon,district
AZ-SAB,Sabirabad,district
AZ-SAH,Şahbuz,district
AZ-SAL,Salyan,district
AZ-SMI,Şamaxı,district
AZ-SMX,Samukh Rayon,district
AZ-SIY,Siyəzən,district
AZ-SM,Sumqayit,municipality
AZ-SUS,Susa,district
AZ-SS,Susa City,municipality
AZ-SAD,Sədərək,district
AZ-SAK,Shaki,district
AZ-SKR,Şəmkir,district
AZ-SAR,Särur,district
AZ-TOV,Tovuz,district
AZ-TAR,Tartar,district
AZ-UCA,UCAR,district
AZ-XA,Stepanakert,municipality
AZ-XAN,Goygol,district
AZ-XAC,Xaçmaz,district
AZ-XIZ,Xizi,district
AZ-XCI,Khojali,district
AZ-XVD,Khojavend,district
AZ-YAR,Yardımlı,district
AZ-YEV,Yevlakh,district
AZ-YE,Yevlax City,municipality
AZ-ZAQ,Zaqatala,district
AZ-ZAN,Zängilan,district
AZ-ZAR,Zardab Rayon,district
AZ-AB,Shirvan,municipality
AZ-SBN,Şabran,district
AZ-SR,Şirvan,municipality
AZ-SA,Shaki,municipality
