id,name,level
BD-05,Bagerhat Sadar Upazila,district
BD-01,Bandarban District,district
BD-02,Barguna District,district
BD-A,Barisal,division
BD-06,Barisal,district
BD-1,Barisal,division
BD-07,Bhola District,district
BD-03,Bogra,district
BD-04,Brahmanbaria District,district
BD-09,Chandpur,district
BD-2,Chittagong,division
BD-B,Chittagong,division
BD-10,Chittagong,district
BD-12,Chuadanga District,district
BD-08,Comilla,district
BD-13,Dhaka,district
BD-C,Dhaka,division
BD-3,Dhaka,division
BD-14,Dinajpur,district
BD-15,Faridpur,district
BD-16,Feni,district
BD-19,Gaibandha District,district
BD-18,Gazipur,district
BD-17,Gopalganj,district
BD-20,Habiganj District,district
BD-24,Jaipurhat District,district
BD-21,Jamalpur,district
BD-22,Jessore District,district
BD-25,Jhalokati District,district
BD-23,Jhenaidah District,district
BD-29,Khagrachari District,district
BD-4,Khulna,division
BD-D,Khulna,division
BD-27,Khulna,district
BD-26,Kishoreganj,district
BD-28,Kurigram District,district
BD-30,Kushtia District,district
BD-31,Lakshmipur,district
BD-32,Lalmonirhat District,district
BD-36,Madaripur District,district
BD-37,Magura,district
BD-33,Manikganj District,district
BD-39,Meherpur District,district
BD-38,Maulvi Bazar District,district
BD-35,Munshiganj District,district
BD-34,Mymensingh,district
BD-48,Naogaon District,district
BD-43,Narail District,district
BD-40,Narayanganj,district
BD-42,Narsingdi District,district
BD-44,Natore District,district
BD-45,Nawabganj,district
BD-41,Netrokona District,district
BD-46,Nilphamari District,district
BD-47,Noakhali District,district
BD-49,Pabna,district
BD-52,Panchagarh District,district
BD-51,Patuakhali District,district
BD-50,Pirojpur District,district
BD-53,Rajbari District,district
BD-54,Rajshahi,district
BD-5,Rajshahi,division
BD-E,Rajshahi,division
BD-56,Rangamati   Parbattya Chattagram,district
BD-55,Rangpur,district
BD-F,Rangpur,division
BD-58,Satkhira District,district
BD-62,Shariatpur District,district
BD-57,Sherpur,district
BD-59,Sirajganj,district
BD-61,Sunamganj District,district
BD-6,Sylhet,division
BD-60,Sylhet,district
BD-G,Sylhet,division
BD-63,Tangail,district
BD-64,Thakurgaon District,district
