id,name,level
BF-BAL,Balé Province,province
BF-BAM,Bam,province
BF-BAN,Banwa Province,province
BF-BAZ,Bazèga Province,province
BF-01,Boucle du Mouhoun Region,region
BF-BGR,Bougouriba Province,province
BF-BLG,Boulgou Province,province
BF-BLK,Boulkiemdé Province,province
BF-02,Cascade Range,region
BF-03,Center,region
BF-04,Centre-Est Region,region
BF-05,Centre-Nord Region,region
BF-06,Centre-Ouest Region,region
BF-07,Centre-Sud,region
BF-COM,Komoé,province
BF-08,EST,region
BF-GAN,Ganzourgou Province,province
BF-GNA,Gnagna Province,province
BF-GOU,Gurma people,province
BF-09,Hauts-Bassins Region,region
BF-HOU,Houet Province,province
BF-IOB,Ioba Province,province
BF-KAD,Kadiogo Province,province
BF-KMD,Komondjari Province,province
BF-KMP,Kompienga Province,province
BF-KOS,Kossi,province
BF-KOP,Koulpélogo Province,province
BF-KOT,Kouritenga Province,province
BF-KOW,Kourwéogo Province,province
BF-KEN,Kénédougou,province
BF-LOR,Loroum,province
BF-LER,Léraba Province,province
BF-MOU,Mouhoun,province
BF-NAO,Nahouri Province,province
BF-NAM,Namentenga Province,province
BF-NAY,Nayala,province
BF-10,Nord,region
BF-NOU,Noumbiel Province,province
BF-OUB,Oubritenga Province,province
BF-OUD,Oudalan Province,province
BF-PAS,Passoré Province,province
BF-11,Plateau-Central Region,region
BF-PON,Poni,province
BF-12,Sahel,region
BF-SNG,Sanguié Province,province
BF-SMT,Sanmatenga Province,province
BF-SIS,Sissili Province,province
BF-SOM,Soum,province
BF-SOR,Sourou,province
BF-13,Sud-Ouest,region
BF-SEN,Seno,province
BF-TAP,Tapoa,province
BF-TUI,Tui,province
BF-YAG,Yagha Province,province
BF-YAT,Yatenga Province,province
BF-ZIR,Ziro,province
BF-ZON,Zondoma Province,province
BF-ZOU,Zoundwéogo Province,province
