id,name,level
BR-AC,Acre,state
BR-AL,Alagoas,state
BR-AP,Amapá,state
BR-AM,Amazonas,state
BR-BA,Bahia,state
BR-CE,Ceará,state
BR-DF,Distrito Federal,federal district
BR-ES,Espírito Santo,state
BR-GO,Goiás,state
BR-MA,Maranhão,state
BR-MT,Mato Grosso,state
BR-MS,Mato Grosso do Sul,state
BR-MG,Minas Gerais,state
BR-PR,Paraná,state
BR-PB,Paraíba,state
BR-PA,Pará,state
BR-PE,Pernambuco,state
BR-PI,Piauí,state
BR-RJ,Rio de Janeiro,state
BR-RN,Rio Grande do Norte,state
BR-RS,Rio Grande do Sul,state
BR-RO,Rondônia,state
BR-RR,Roraima,state
BR-SC,Santa Catarina,state
BR-SE,Sergipe,state
BR-SP,São Paulo,state
BR-TO,Tocantins,state
