id,name,level
BS-AK,Acklins  Islands,district
BS-AC,Acklins and Crooked Islands,district
BS-BY,Berry Islands,district
BS-BI,Bimini,district
BS-BP,Black Point,district
BS-CI,Cat Island,district
BS-CO,Central Abaco,district
BS-CS,Central Andros,district
BS-CE,Central Eleuthera,district
BS-FP,Freeport,district
BS-CK,Crooked Island,district
BS-EG,East Grand Bahama,district
BS-EX,Exuma,district
BS-GC,Grand Cay,district
BS-GT,Green Turtle Cay,district
BS-HI,Harbour Island,district
BS-HR,High Rock,district
BS-HT,Hope Town,district
BS-IN,Inagua,district
BS-KB,Kemps Bay,district
BS-LI,Long Island,district
BS-MC,Mangrove Cay,district
BS-MH,Marsh Harbour,district
BS-MG,Mayaguana,district
BS-MI,Moore’s Island,district
BS-NP,New Providence,district
BS-NB,Nichollstown and Berry Islands,district
BS-NO,North Abaco,district
BS-NS,North Andros,district
BS-NE,North Eleuthera,district
BS-RI,Ragged Island,district
BS-RS,Rock Sound,district
BS-RC,Rum Cay,district
BS-SS,San Salvador,district
BS-SR,San Salvador and Rum Cay,district
BS-SP,Sandy Point,district
BS-SO,South Abaco,district
BS-SA,South Andros,district
BS-SE,South Eleuthera,district
BS-SW,Spanish Wells,district
BS-WG,West Grand Bahama,district
