id,name,level
BT-33,Bumthang,district
BT-12,Mebisa,district
BT-22,Dagana,district
BT-GA,Gasa,district
BT-13,Ha,district
BT-44,Lhuntse,district
BT-42,Mongar,district
BT-11,Paro,district
BT-43,Pemagatsel,district
BT-23,Punakha,district
BT-45,Samdrup Jongkhar,district
BT-14,Samtse,district
BT-31,Sarpang,district
BT-15,Thimphu,district
BT-TY,Trashiyangtse,district
BT-41,Trashigang,district
BT-32,Trongsa,district
BT-21,Tsirang District,district
BT-24,Wangdue Phodrang,district
BT-34,Zhemgang,district
