id,name,level
CN-34,Anhui,province
CN-92,Aomen,special administrative region
CN-11,Beijing,municipality
CN-50,Chongqing,municipality
CN-35,Fujian,province
CN-62,Gansu,province
CN-44,Guangdong,province
CN-45,Guangxi,autonomous region
CN-52,Guizhou,province
CN-46,Hainan,province
CN-13,Hebei,province
CN-23,Heilongjiang,province
CN-41,Henan,province
CN-42,Hubei,province
CN-43,Hunan,province
CN-32,Jiangsu,province
CN-36,Jiangxi,province
CN-22,Jilin,province
CN-21,Liaoning,province
CN-15,Nei Mongol,autonomous region
CN-64,Ningxia,autonomous region
CN-63,Qinghai,province
CN-61,Shaanxi,province
CN-37,Shandong,province
CN-31,Shanghai,municipality
CN-14,Shanxi,province
CN-51,Sichuan,province
CN-71,Taiwan,province
CN-12,Tianjin,municipality
CN-91,Xianggang,special administrative region
CN-65,Xinjiang,autonomous region
CN-54,Tibet Autonomous Region,autonomous region
CN-53,Yunnan,province
CN-33,Zhejiang,province
