id,name,level
CO-AMA,Amazonas,department
CO-ANT,Antioquia Department,department
CO-ARA,Arauca,department
CO-ATL,Atlántico,department
CO-BOL,Simón Bolívar,department
CO-BOY,Boyacá,department
CO-CAL,Caldas,department
CO-CAQ,Caquetá,department
CO-CAS,Casanare,department
CO-CAU,Cauca,department
CO-CES,Cesar,department
CO-CHO,Choco,department
CO-CUN,Cundinamarca,department
CO-COR,Córdoba,department
CO-DC,Bogotá,capital district
CO-GUA,Guainía,department
CO-GUV,Guaviare,department
CO-HUI,Huila,department
CO-LAG,La Guajira Department,department
CO-MAG,Magdalena,department
CO-MET,Meta,department
CO-NAR,Nariño Department,department
CO-NSA,Norte de Santander Department,department
CO-PUT,Putumayo Department,department
CO-QUI,Quindío Department,department
CO-RIS,Risaralda,department
CO-SAP,Archipelago of San Andrés,department
CO-SAN,Santander,department
CO-SUC,Sucre,department
CO-TOL,Tolima,department
CO-VAC,Valle del Cauca Department,department
CO-VAU,Vaupés,department
CO-VID,Vichada,department
