id,name,level
CV-BV,Boa Vista,municipality
CV-BR,Brava,municipality
CV-CS,Calheta de São Miguel,
CV-B,Barlavento Islands,geographical region
CV-S,Sotavento Islands,geographical region
CV-MA,Maio,municipality
CV-MO,Mosteiros,municipality
CV-PA,Paul,municipality
CV-PN,Porto-Novo,municipality
CV-PR,Praia,municipality
CV-RB,Ribeira Brava,municipality
CV-RG,Ribeira Grande,municipality
CV-RS,Ribeira Grande de Santiago,municipality
CV-SL,Sal,municipality
CV-CA,Santa Catarina,municipality
CV-CF,Santa Catarina do Fogo,municipality
CV-CR,Santa Cruz,municipality
CV-SD,São Domingos,municipality
CV-SF,Saint Philip,municipality
CV-SO,São Lourenço dos Órgãos,municipality
CV-SM,São Miguel,municipality
CV-SN,São Nicolau,
CV-SS,São Salvador do Mundo,municipality
CV-SV,São Vicente,municipality
CV-TA,Tarrafal,municipality
CV-TS,Tarrafal de São Nicolau,municipality
