id,name,level
DK-040,Bornholm,county
DK-84,Capital,region
DK-82,Central Denmark Region,region
DK-147,Frederiksberg City,city
DK-020,Frederiksborg,county
DK-042,Funen,county
DK-015,Copenhagen,county
DK-101,København City,city
DK-080,North Jutland,county
DK-81,North Jutland,region
DK-055,Ribe,county
DK-065,Ringkøbing,county
DK-025,Roskilde,county
DK-83,Region of Southern Denmark,region
DK-035,Storstrøm County,county
DK-050,Southern Jutland,county
DK-060,Vejle,county
DK-030,West Zealand County,county
DK-076,Viborg,county
DK-85,Zeeland,region
DK-070,Aarhus,county
