id,name,level
DZ-01,Adrar,province
DZ-16,Alger,province
DZ-23,Annaba,province
DZ-44,Aïn Defla,province
DZ-46,Aïn Témouchent,province
DZ-05,Batna,province
DZ-07,Biskra,province
DZ-09,Blida,province
DZ-34,Bordj Bou Arréridj,province
DZ-10,Bouïra,province
DZ-35,Boumerdès,province
DZ-08,Béchar,province
DZ-06,Béjaïa,province
DZ-02,Chlef,province
DZ-25,Constantine,province
DZ-17,Djelfa,province
DZ-32,El Bayadh,province
DZ-39,El Oued,province
DZ-36,El Taref,province
DZ-47,Ghardaïa,province
DZ-24,Guelma,province
DZ-33,Illizi,province
DZ-18,Jijel,province
DZ-40,Khenchela,province
DZ-03,Laghouat,province
DZ-29,Mascara,province
DZ-43,Mila,province
DZ-27,Mostaganem,province
DZ-26,Médéa,province
DZ-45,Naama,province
DZ-31,Oran,province
DZ-30,Ouargla,province
DZ-04,Oum El Bouaghi,province
DZ-48,Relizane,province
DZ-20,Saida,province
DZ-22,Sidi Bel Abbès,province
DZ-21,Skikda,province
DZ-41,Souk Ahras,province
DZ-19,Sétif,province
DZ-11,Tamanrasset,province
DZ-14,Tiaret,province
DZ-37,Tindouf,province
DZ-42,Tipaza,province
DZ-38,Tissemsilt,province
DZ-15,Tizi Ouzou,province
DZ-13,Tlemcen,province
DZ-12,Tébessa,province
