id,name,level
EC-A,Azuay Province,province
EC-B,Simón Bolívar,province
EC-C,Carchi Province,province
EC-F,Canar,province
EC-H,Chimborazo,province
EC-X,Cotopaxi,province
EC-O,El Oro,province
EC-E,Esmeraldas,province
EC-W,Galápagos Islands,province
EC-G,Guayas,province
EC-I,Imbabura,province
EC-L,Loja,province
EC-R,Los Ríos,province
EC-M,Manabí,province
EC-S,Morona-Santiago Province,province
EC-N,Napo,province
EC-D,Orellana,province
EC-Y,Pastaza,province
EC-P,Pichincha,province
EC-SE,Santa Elena,province
EC-SD,Santo Domingo de los Tsáchilas Province,province
EC-U,Sucumbíos Province,province
EC-T,Tungurahua,province
EC-Z,Zamora-Chinchipe Province,province
