id,name,level
EG-DK,Dakahlia Governorate,governorate
EG-BA,Bahr,governorate
EG-BH,Al Buhayrah,governorate
EG-FYM,Faiyum,governorate
EG-GH,Al Gharbiyah,governorate
EG-ALX,Al Iskandariyah,governorate
EG-IS,Al Ismā`īlīyah,governorate
EG-GZ,Al Jizah,governorate
EG-MNF,Monufia Governorate,governorate
EG-MN,Minya,governorate
EG-C,Al Qahirah,governorate
EG-KB,Qalyubia Governorate,governorate
EG-WAD,New Valley Governorate,governorate
EG-LX,Luxor,governorate
EG-SUZ,As Suways,governorate
EG-SU,6th of October,governorate
EG-SHR,Ash Sharqiyah,governorate
EG-ASN,Aswan,governorate
EG-AST,Asyut,governorate
EG-BNS,Beni Suef,governorate
EG-PTS,Būr Sa`īd,governorate
EG-DT,Dumyat,governorate
EG-HU,Helwan,governorate
EG-JS,South Sinai Governorate,governorate
EG-KFS,Kafr el-Sheikh,governorate
EG-MT,Matrūh,governorate
EG-KN,Qena,governorate
EG-SIN,North Sinai Governorate,governorate
EG-SHG,Sohag,governorate
