id,name,level
FI-AL,Åland,
FI-01,Åland Islands,region
FI-02,South Karelia,region
FI-03,Southern Ostrobothnia,region
FI-04,Southern Savonia,region
FI-ES,Southern Finland Province,
FI-IS,Eastern Finland Province,
FI-05,Kainuu,region
FI-06,Tavastia Proper,region
FI-07,Central Ostrobothnia,region
FI-08,Central Finland,region
FI-09,Kymenlaakso,region
FI-LL,Lapland,
FI-10,Lappi,region
FI-LS,Western Finland Province,
FI-OL,Oulu Province,
FI-11,Pirkanmaa,region
FI-12,Pohjanmaa,region
FI-13,North Karelia,region
FI-14,Northern Ostrobothnia,region
FI-15,Northern Savonia,region
FI-16,Päijänne Tavastia,region
FI-17,Satakunta,region
FI-18,Uusimaa,region
FI-19,Varsinais-Suomi,region
