id,name,level
GN-BE,Beyla,perfecture
GN-BF,Boffa,perfecture
GN-B,Boké,governorates
GN-BK,Boké,perfecture
GN-C,Conakry,special zone.
GN-CO,Coyah,perfecture
GN-DB,Dabola,perfecture
GN-DL,Dalaba,perfecture
GN-DI,Dinguiraye,perfecture
GN-DU,Dubréka,perfecture
GN-FA,Faranah,perfecture
GN-F,faranah,governorates
GN-FO,Forécariah,perfecture
GN-FR,Fria,perfecture
GN-GA,Gaoual,perfecture
GN-GU,Guéckédougou,perfecture
GN-K,Kankan,governorates
GN-KA,Kankan,perfecture
GN-KD,Kindia,perfecture
GN-D,Kindia,governorates
GN-KS,Kissidougou,perfecture
GN-KB,Koubia,perfecture
GN-KN,Koundara,perfecture
GN-KO,Kouroussa,perfecture
GN-KE,Kérouané,perfecture
GN-L,Labé,governorates
GN-LA,Labé,perfecture
GN-LO,Lola,perfecture
GN-LE,Lélouma,perfecture
GN-MC,Macenta,perfecture
GN-ML,Mali,perfecture
GN-MM,Mamou,perfecture
GN-M,Mamou,governorates
GN-MD,Mandiana,perfecture
GN-N,Nzérékoré,governorates
GN-NZ,Nzérékoré,perfecture
GN-PI,Pita,perfecture
GN-SI,Siguiri,perfecture
GN-TO,Tougué,perfecture
GN-TE,Télimélé,perfecture
GN-YO,Yomou,perfecture
