id,name,level
GR-13,Achaea,department
GR-69,Mount Athos,self-governed part
GR-01,Aetolia-Acarnania,department
GR-A,East Macedonia and Thrace,administrative regions
GR-11,Argolis,department
GR-12,Arcadia,department
GR-31,Arta,department
GR-I,Attica,administrative regions
GR-A1,Attica,department
GR-64,Chalkidiki,department
GR-94,Chania,department
GR-85,Chios,department
GR-81,Dodecanese,department
GR-52,Drama,department
GR-G,West Greece,administrative regions
GR-C,West Macedonia,administrative regions
GR-71,Evros,department
GR-05,Evrytania,department
GR-04,Euboea,department
GR-63,Florina,department
GR-07,Phocis,department
GR-06,Phthiotis,department
GR-51,Grevena,department
GR-14,Elis,department
GR-53,Imathia,department
GR-33,Ioannina,department
GR-F,Ionian Islands,administrative regions
GR-D,Epirus,administrative regions
GR-91,Heraklion,department
GR-41,Karditsa,department
GR-56,Kastoria,department
GR-55,Kavala,department
GR-23,Cephalonia,department
GR-B,Central Macedonia,administrative regions
GR-22,Corfu,department
GR-57,Kilkis,department
GR-15,Corinthia,department
GR-58,Kozani,department
GR-M,Kriti,administrative regions
GR-82,Cyclades,department
GR-16,Laconia,department
GR-42,Larissa,department
GR-92,Lasithi,department
GR-24,Lefkada,department
GR-83,Lesbos,department
GR-43,Magnesia,department
GR-17,Messenia,department
GR-L,South Aegean,administrative regions
GR-59,Pella,department
GR-J,Peloponnese,administrative regions
GR-61,Pieria,department
GR-34,Preveza,department
GR-93,Rethymno,department
GR-73,Rodopi,department
GR-84,Samos,department
GR-62,Serres,department
GR-H,Central Greece,administrative regions
GR-32,Thesprotia,department
GR-E,Thessaly,administrative regions
GR-54,Thessaloniki,department
GR-44,Trikala,department
GR-03,Boeotia,department
GR-K,North Aegean,administrative regions
GR-72,Xanthi,department
GR-21,Zakynthos,department
