id,name,level
GT-AV,Alta Verapaz Department,department
GT-BV,Baja Verapaz Department,department
GT-CM,Chimaltenango,department
GT-CQ,Chiquimula,department
GT-PR,El Progreso,department
GT-ES,Escuintla,department
GT-GU,Guatemala,department
GT-HU,Huehuetenango,department
GT-IZ,Izabal,department
GT-JA,Jalapa,department
GT-JU,Jutiapa,department
GT-PE,Petén,department
GT-QZ,Quetzaltenango,department
GT-QC,Quiche,department
GT-RE,Retalhuleu,department
GT-SA,Sacatepéquez,department
GT-SM,San Marcos,department
GT-SR,Santa Rosa,department
GT-SO,Sololá,department
GT-SU,Suchitepéquez Department,department
GT-TO,Totonicapán,department
GT-ZA,Zacapa,department
