id,name,level
HN-AT,Atlántida,department
HN-CH,Choluteca,department
HN-CL,Colón,department
HN-CM,Comayagua,department
HN-CP,Copán,department
HN-CR,Cortes,department
HN-EP,El Paraíso,department
HN-FM,Francisco Morazán,department
HN-GD,Gracias a Dios,department
HN-IN,La Esperanza,department
HN-IB,Bay Islands Department,department
HN-LP,La Paz,department
HN-LE,Lempira,department
HN-OC,Ocotepeque,department
HN-OL,Olancho Department,department
HN-SB,Santa Barbara,department
HN-VA,Valle,department
HN-YO,Yoro,department
