id,name,level
HR-07,Bjelovar-Bilogora County,county
HR-12,Brod-Posavina County,county
HR-19,Dubrovacko-neretvanska županija,county
HR-21,Zagreb,city
HR-18,Istria County,county
HR-04,Karlovacka županija,county
HR-06,Koprivnicko-križevacka županija,county
HR-02,Krapina-Zagorje County,county
HR-09,Licko-senjska županija,county
HR-20,Medimurska županija,county
HR-14,Osjecko-baranjska županija,county
HR-11,Požega-Slavonia County,county
HR-08,Primorje-Gorski Kotar County,county
HR-03,Sisacko-moslavacka županija,county
HR-17,Split-Dalmatia County,county
HR-05,Varaždin County,county
HR-10,Viroviticko-podravska županija,county
HR-16,Vukovar-Syrmia County,county
HR-13,Zadar County,county
HR-01,Zagrebacka županija,county
HR-15,Šibenik-Knin County,county
