id,name,level
IR-03,Ardabil,province
IR-02,Az¯arbayjan-e Gharbi,province
IR-01,Az¯arbayjan-e Sharqi,province
IR-06,Bushehr,province
IR-08,Chahar Mah¸all va Bakhtiari,province
IR-04,Isfahan,province
IR-14,Fars,province
IR-19,Gilan Province,province
IR-27,Gulistan,province
IR-24,Hamadan,province
IR-23,Hormozgan Province,province
IR-05,Ilam,province
IR-15,Kerman,province
IR-17,Kermanshah,province
IR-09,Khorasan,
IR-29,Khorasan-e Janubi,province
IR-30,Khorasan-e Razavi,province
IR-31,Khorasan-e Shemali,province
IR-10,Khuzestan Province,province
IR-18,Kohgiluyeh and Boyer-Ahmad Province,province
IR-16,Kurdistan,province
IR-20,Lorestan Province,province
IR-22,Markazi,province
IR-21,Mazandaran Province,province
IR-28,Qazvin,province
IR-26,Qom,province
IR-12,Semnan,province
IR-13,Sistan and Baluchestan Province,province
IR-07,Tehran,province
IR-25,Yazd,province
IR-11,Zanjan,province
