id,name,level
JP-23,Aiti,perfecture
JP-05,Akita,perfecture
JP-02,Aomori,perfecture
JP-38,Ehime Prefecture,perfecture
JP-21,Gihu,perfecture
JP-10,Gunma Prefecture,perfecture
JP-34,Hirosima,perfecture
JP-01,Hokkaidô,territory
JP-18,Hukui,perfecture
JP-40,Hukuoka,perfecture
JP-07,Hukusima,perfecture
JP-28,Hyôgo,perfecture
JP-08,Ibaraki,perfecture
JP-17,Isikawa,perfecture
JP-03,Iwate,perfecture
JP-37,Kagawa,perfecture
JP-46,Kagosima,perfecture
JP-14,Kanagawa Prefecture,perfecture
JP-43,Kumamoto,perfecture
JP-26,Kyôto,urban perfecture
JP-39,Kôti,perfecture
JP-24,Mie,perfecture
JP-04,Miyagi,perfecture
JP-45,Miyazaki,perfecture
JP-20,Nagano,perfecture
JP-42,Nagasaki,perfecture
JP-29,Nara,perfecture
JP-15,Niigata,perfecture
JP-33,Okayama,perfecture
JP-47,Okinawa Prefecture,perfecture
JP-41,Saga,perfecture
JP-11,Saitama,perfecture
JP-25,Siga,perfecture
JP-32,Simane,perfecture
JP-22,Sizuoka,perfecture
JP-12,Tiba,perfecture
JP-36,Tokusima,perfecture
JP-09,Totigi,perfecture
JP-31,Tottori,perfecture
JP-16,Toyama,perfecture
JP-13,Tôkyô,metropolis
JP-30,Wakayama,perfecture
JP-06,Yamagata,perfecture
JP-35,Yamaguti,perfecture
JP-19,Yamanasi,perfecture
JP-44,Ôita,perfecture
JP-27,Ôsaka,urban perfecture
