id,name,level
KH-2,Baat Dambang,province
KH-1,Banteay Mean Chey,province
KH-3,Kampong Chaam,province
KH-4,Kampong Chhnang,province
KH-5,Kampong Spueu,province
KH-6,Kampong Thum,province
KH-7,Kampot,province
KH-8,Kandaal,province
KH-9,Kaoh Kong,province
KH-10,Kracheh,province
KH-23,Krong Kaeb,autonomous municipality
KH-24,Krong Pailin,autonomous municipality
KH-18,Krong Preah Sihanouk,autonomous municipality
KH-11,Mondol Kiri,province
KH-22,Otdar Mean Chey,province
KH-12,Phnom Penh,autonomous municipality
KH-15,Pousaat,province
KH-13,Preah Vihear,province
KH-14,Prey Veaeng,province
KH-16,Rotanak Kiri,province
KH-17,Siem Reab,province
KH-19,Stueng Traeng,province
KH-20,Svaay Rieng,province
KH-21,Taakaev,province
