id,name,level
KN-01,Christ Church Nichola Town Parish,parish
KN-N,Nevis,state
KN-02,Saint Anne Sandy Point Parish,parish
KN-03,Saint George Basseterre Parish,parish
KN-04,Saint George Gingerland Parish,parish
KN-05,Saint James Windward Parish,parish
KN-06,Saint John Capisterre Parish,parish
KN-07,Saint John Figtree Parish,parish
KN-K,Saint Kitts,state
KN-08,Saint Mary Cayon Parish,parish
KN-09,Saint Paul Capisterre,parish
KN-10,Saint Paul Charlestown Parish,parish
KN-11,Saint Peter Basseterre Parish,parish
KN-12,Saint Thomas Lowland Parish,parish
KN-13,Saint Thomas Middle Island Parish,parish
KN-15,Trinity Palmetto Point Parish,parish
