id,name,level
KP-04,Chagang Province,province
KP-CHA,Chagang Province,province
KP-09,Hamgyong-bukdo,province
KP-08,South Hamgyong Province,province
KP-HAB,North Hamgyong Province,province
KP-HAN,South Hamgyong Province,province
KP-06,North Hwanghae Province,province
KP-05,South Hwanghae Province,province
KP-HWB,North Hwanghae Province,province
KP-HWN,South Hwanghae Province,province
KP-KAE,Kaesong,special city
KP-KAN,Gangwon,province
KP-07,Gangwon,province
KP-NAJ,Rason,special city
KP-NAM,Nampho,special city
KP-13,Nason,special city
KP-03,Pyongan-bukdo,province
KP-02,South Pyongan Province,province
KP-PYB,North Pyongan Province,province
KP-PYN,South Pyongan Province,province
KP-01,Pyongyang,capital city
KP-PYO,Pyongyang,special city
KP-10,Ryanggang Province,province
KP-YAN,Ryanggang Province,province
