id,name,level
KZ-ALA,Almaty,city
KZ-ALM,Almaty Province,region
KZ-AKM,Akmola Province,region
KZ-AKT,Aktobe Province,region
KZ-AST,Astana,city
KZ-ATY,Atyrau oblysy,region
KZ-ZAP,West Kazakhstan Province,region
KZ-BAY,Baikonur,city
KZ-MAN,Mangystau Province,region
KZ-YUZ,South Kazakhstan Province,region
KZ-PAV,Pavlodar Province,region
KZ-KAR,Karagandy Province,region
KZ-KUS,Kostanay Province,region
KZ-KZY,Kyzylorda Province,region
KZ-VOS,East Kazakhstan Province,region
KZ-SEV,North Kazakhstan Province,region
KZ-ZHA,Jambyl Province,region
