id,name,level
LA-AT,Attapu,province
LA-BK,Bokeo Province,province
LA-BL,Bolikhamxai,province
LA-CH,Champasak,province
LA-HO,Houaphanh Province,province
LA-KH,Khammouane Province,province
LA-LM,Luang Namtha,province
LA-LP,Louangphabang,province
LA-OU,Oudômxai,province
LA-PH,Phôngsali,province
LA-SL,Salavan,province
LA-SV,Savannakhet,province
LA-VI,Vientiane,province
LA-VT,Vientiane Prefecture,prefecture
LA-XA,Xaignabouli,province
LA-XN,Xaisomboun,special zone
LA-XI,Xiangkhoang,province
LA-XE,Xékong,province
