id,name,level
LK-52,Ampara,district
LK-71,Anuradhapura,district
LK-81,Badulla,district
LK-1,Western Province,province
LK-3,Southern Province,province
LK-12,Gampaha,district
LK-31,Galle,district
LK-33,Hambantota,district
LK-13,Kalutara,district
LK-92,Kegalle,district
LK-42,Kilinochchi,district
LK-61,Kurunegala,district
LK-11,Colombo,district
LK-51,Madakalapuva,district
LK-2,Central Province,province
LK-21,Kandy,district
LK-43,Mannar,district
LK-5,Central Province,province
LK-45,Mullaitivu,district
LK-22,Matale,district
LK-32,Matara,district
LK-82,Moneragala,district
LK-23,Nuwara Eliya,district
LK-62,Puttalam,district
LK-72,Polonnaruwa,district
LK-91,Ratnapura,district
LK-9,Sabaragamuwa Province,province
LK-53,Trincomalee,district
LK-4,Northern Province,province
LK-7,North Central Province,province
LK-44,Vavuniya,district
LK-6,North Western Province,province
LK-41,Jaffna,district
LK-8,Uva Province,province
