id,name,level
LV-001,Aglonas novads,district
LV-AI,Aizkraukles Aprinkis,district
LV-002,Aizkraukles novads,district
LV-003,Aizputes novads,district
LV-004,Aknīstes novads,district
LV-005,Alojas novads,district
LV-006,Alsungas novads,district
LV-AL,Aluksnes Aprinkis,district
LV-007,Alūksnes novads,district
LV-008,Amatas novads,district
LV-009,Apes novads,district
LV-010,Auces novads,district
LV-012,Babītes novads,district
LV-013,Baldones novads,district
LV-014,Baltinavas novads,district
LV-BL,Balvu Aprinkis,district
LV-015,Balvu novads,district
LV-BU,Bauskas Aprinkis,district
LV-016,Bauskas novads,district
LV-017,Beverīnas novads,district
LV-018,Brocēnu novads,district
LV-019,Burtnieku novads,district
LV-020,Carnikavas novads,district
LV-CE,Cesu Aprinkis,district
LV-021,Cesvaines novads,district
LV-023,Ciblas novads,district
LV-022,Cēsu novads,district
LV-024,Dagdas novads,district
LV-DGV,Daugavpils,city
LV-DA,Daugavpils Aprinkis,district
LV-025,Daugavpils novads,district
LV-DO,Dobeles Aprinkis,district
LV-026,Dobeles novads,district
LV-027,Dundagas novads,district
LV-028,Durbes novads,district
LV-029,Engures novads,district
LV-031,Garkalnes novads,district
LV-032,Grobiņas novads,district
LV-GU,Gulbenes Aprinkis,district
LV-033,Gulbenes novads,district
LV-034,Iecavas novads,district
LV-035,Ikšķiles novads,district
LV-036,Ilūkstes novads,district
LV-037,Inčukalna novads,district
LV-038,Jaunjelgavas novads,district
LV-039,Jaunpiebalgas novads,district
LV-040,Jaunpils novads,district
LV-JK,Jekabpils Aprinkis,district
LV-JEL,Jelgava,city
LV-JL,Jelgavas Aprinkis,district
LV-041,Jelgavas novads,district
LV-JUR,Jūrmala,city
LV-JKB,Jēkabpils,city
LV-042,Jēkabpils novads,district
LV-043,Kandavas novads,district
LV-045,Kocēni municipality,district
LV-046,Kokneses novads,district
LV-KR,Kraslavas Aprinkis,district
LV-048,Krimuldas novads,district
LV-049,Krustpils novads,district
LV-047,Krāslavas novads,district
LV-KU,Kuldigas Aprinkis,district
LV-050,Kuldīgas novads,district
LV-044,Kārsavas novads,district
LV-053,Lielvārdes novads,district
LV-LPX,Liepāja,city
LV-LE,Liepajas Aprinkis,district
LV-LM,Limbažu Aprinkis,district
LV-054,Limbažu novads,district
LV-057,Lubānas novads,district
LV-LU,Ludzas Aprinkis,district
LV-058,Ludzas novads,district
LV-055,Līgatnes novads,district
LV-056,Līvānu novads,district
LV-MA,Madonas Aprinkis,district
LV-059,Madonas novads,district
LV-060,Mazsalacas novads,district
LV-061,Mālpils novads,district
LV-062,Mārupes novads,district
LV-063,Mērsrags municipality,district
LV-064,Naukšēnu novads,district
LV-065,Neretas novads,district
LV-066,Nīcas novads,district
LV-OG,Ogres Aprinkis,district
LV-067,Ogres novads,district
LV-068,Olaines novads,district
LV-069,Ozolnieku novads,district
LV-PR,Preilu Aprinkis,district
LV-073,Preiļu novads,district
LV-074,Priekules novads,district
LV-075,Priekuļu novads,district
LV-070,Pārgaujas novads,district
LV-071,Pāvilostas novads,district
LV-072,Pļaviņu novads,district
LV-076,Raunas novads,district
LV-REZ,Rēzekne,city
LV-RE,Rezeknes Aprinkis,district
LV-078,Riebiņu novads,district
LV-RIX,Riga,city
LV-RI,Rigas Aprinkis,district
LV-079,Rojas novads,district
LV-080,Ropažu novads,district
LV-081,Rucavas novads,district
LV-082,Rugāju novads,district
LV-083,Rundāles novads,district
LV-077,Rēzeknes novads,district
LV-084,Rūjienas novads,district
LV-086,Salacgrīvas novads,district
LV-085,Salas novads,district
LV-087,Salaspils novads,district
LV-SA,Saldus Aprinkis,district
LV-088,Saldus novads,district
LV-089,Saulkrastu novads,district
LV-091,Siguldas novads,district
LV-093,Skrundas novads,district
LV-092,Skrīveru novads,district
LV-094,Smiltenes novads,district
LV-095,Stopiņu novads,district
LV-096,Strenču novads,district
LV-090,Sējas novads,district
LV-TA,Talsu Aprinkis,district
LV-097,Talsu novads,district
LV-TU,Tukuma Aprinkis,district
LV-099,Tukuma novads,district
LV-098,Tērvetes novads,district
LV-100,Vaiņodes novads,district
LV-VK,Valkas Aprinkis,district
LV-101,Valkas novads,district
LV-VMR,Valmiera,city
LV-VM,Valmieras Aprinkis,district
LV-102,Varakļānu novads,district
LV-104,Vecpiebalgas novads,district
LV-105,Vecumnieku novads,district
LV-VEN,Ventspils,city
LV-VE,Ventspils Aprinkis,district
LV-106,Ventspils novads,district
LV-107,Viesītes novads,district
LV-108,Viļakas novads,district
LV-109,Viļānu novads,district
LV-103,Vārkavas novads,district
LV-110,Zilupes novads,district
LV-011,Ādažu novads,district
LV-030,Ērgļu novads,district
LV-051,Ķeguma novads,district
LV-052,Ķekavas novads,district
