id,name,level
LY-AJ,Ajdabiya,
LY-HZ,Al ?izam al Akh?ar,
LY-BU,Butnan District,popularate
LY-JA,Al Jabal al Akh?ar,popularate
LY-JG,Nafusa Mountains,popularate
LY-JI,Al Jifarah,popularate
LY-JU,Jufra District,popularate
LY-KF,Kufra District,popularate
LY-MJ,Marj,popularate
LY-MB,Al Marqab,popularate
LY-QT,Qatrun,
LY-QB,Al Qubbah,
LY-WA,Al Wahat District,popularate
LY-NQ,Nuqat al Khams,popularate
LY-SH,Wadi al Shatii District,district
LY-ZA,Zawiya,popularate
LY-BA,Benghazi,popularate
LY-BW,Bani Walid,
LY-DR,Derna,popularate
LY-GD,Ghadames,
LY-GR,Gharyan,
LY-GT,Ghat,popularate
LY-JB,Jaghbub,
LY-MI,Misrata,popularate
LY-MZ,Mizda,
LY-MQ,Murzuk,popularate
LY-NL,Nalut,popularate
LY-SB,Sabha,popularate
LY-SS,Sabratah Surman,
LY-SR,Surt,popularate
LY-TB,Tripoli,popularate
LY-TM,Tarhunah-Masallatah,
LY-WD,Wadi al ?ayat,popularate
LY-WS,Wadi al Shatii District,popularate
LY-YJ,Yafran-Jadu,
