id,name,level
MD-AN,Anenii Noi,district
MD-BS,Basarabeasca,district
MD-BR,Briceni,district
MD-BA,Bălți,city
MD-CA,Cahul,district
MD-CT,Cantemir,district
MD-CU,Chișinău,city
MD-CH,Chisinau City,city
MD-CM,Cimişlia,district
MD-CR,Criuleni,district
MD-CL,Călărași,district
MD-CS,Căuşeni,district
MD-DO,Donduşeni,district
MD-DR,Drochia,district
MD-DU,Dubăsari,district
MD-ED,Edineț,district
MD-FL,Florești,district
MD-FA,Făleşti,district
MD-GA,Gagauzia,autonomous territorial unit
MD-GL,Glodeni,district
MD-HI,Hîncești,district
MD-IA,Ialoveni,district
MD-LE,Leova,district
MD-LA,Lăpuşina,district
MD-NI,Nisporeni,district
MD-OC,Ocniţa,district
MD-OR,Orhei,district
MD-RE,Rezina,district
MD-RI,Rîșcani,district
MD-SO,Soroca,district
MD-ST,Străşeni,district
MD-SN,Stînga Nistrului,territorial unit
MD-SI,Sîngerei,district
MD-TA,Taraclia,district
MD-TE,Teleneşti,district
MD-BD,Bender,city
MD-TI,Bender,district
MD-UN,Ungheni,district
MD-SD,Şoldăneşti,district
MD-SV,Ștefan Vodă,district
