id,name,level
MH-ALL,Ailinglaplap Atoll,municipality
MH-ALK,Ailuk Atoll,municipality
MH-ARN,Arno,municipality
MH-AUR,AUR,municipality
MH-EBO,Ebon,municipality
MH-ENI,Enewetak Atoll,municipality
MH-JAB,Jabat Island,municipality
MH-JAL,Jaluit Atoll,municipality
MH-KIL,Kili,municipality
MH-KWA,Kwajalein Atoll,municipality
MH-LAE,Lae,municipality
MH-LIB,Lib,municipality
MH-LIK,Likiep Atoll,municipality
MH-MAJ,Majuro,municipality
MH-MAL,Maloelap Atoll,municipality
MH-MEJ,Mejit Island,municipality
MH-MIL,Mili,municipality
MH-NMK,Namdrik Atoll,municipality
MH-NMU,Namu,municipality
MH-L,Ralik Chain,chain of islands
MH-T,Ratak Chain,chain of islands
MH-RON,Rongelap Atoll,municipality
MH-UJA,Ujae Atoll,municipality
MH-UJL,Ujelang Atoll,municipality
MH-UTI,Utirik Atoll,municipality
MH-WTH,Wotho Atoll,municipality
MH-WTJ,Wotje Atoll,municipality
