id,name,level
MN-073,Arkhangai Province,province
MN-071,Bayan-Ölgii Province,province
MN-069,Bayankhongor,province
MN-067,Bulgan,province
MN-037,Darkhan-Uul Province,municipality
MN-061,Dornod Province,province
MN-063,Dornogovi Province,province
MN-059,Dundgovi Province,province
MN-057,Zavkhan,province
MN-065,Govi-Altay,province
MN-064,Govi-Sümber,municipality
MN-039,Khentii,province
MN-043,Khovd,province
MN-041,Khövsgöl,province
MN-035,Orkhon,municipality
MN-049,Selenge,province
MN-051,Sükhbaatar,province
MN-047,Töv Province,province
MN-1,Ulan Bator,municipality
MN-046,Uvs Province,province
MN-053,Ömnögovi,province
MN-055,Övörkhangai Province,province
