id,name,level
MU-AG,Agalega Islands,dependency
MU-BR,Beau-Bassin Rose-Hill,city
MU-BL,Black River,district
MU-CC,Cargados Carajos Shoals,dependency
MU-CU,Curepipe,city
MU-FL,Flacq District,district
MU-GP,Grand Port District,district
MU-MO,Moka,district
MU-PA,Pamplemousses District,district
MU-PW,Plaines Wilhems District,district
MU-PL,Port Louis City,district
MU-PU,Port Louis District,city
MU-QB,Quatre Bornes,city
MU-RR,Rivière du Rempart,district
MU-RO,Rodrigues,dependency
MU-SA,Savanne District,district
MU-VP,Vacoas-Phoenix,city
