id,name,level
MV-02,Alif,administrative atoll
MV-00,Alif Dhaal Atoll,
MV-20,BAA,administrative atoll
MV-CE,Central,province
MV-17,Dhaalu,administrative atoll
MV-14,Faafu,administrative atoll
MV-27,Gaafu Alif Atoll,administrative atoll
MV-28,Gaafu Dhaalu Atoll,administrative atoll
MV-29,Gnaviyani,administrative atoll
MV-07,Northern Thiladhunmathi Atoll,administrative atoll
MV-23,Haa Dhaalu Atoll,administrative atoll
MV-26,Kaafu,administrative atoll
MV-05,Laamu,administrative atoll
MV-03,Lhaviyani,administrative atoll
MV-MLE,Male,capital
MV-12,Meemu,administrative atoll
MV-25,Noonu,administrative atoll
MV-NO,North,province
MV-NC,North Central,province
MV-13,RAA,administrative atoll
MV-01,Seenu,administrative atoll
MV-24,Shaviyani,administrative atoll
MV-SU,South,province
MV-SC,South Central,province
MV-08,Thaa,administrative atoll
MV-UN,Upper North,province
MV-US,Upland South,province
MV-04,Vaavu,administrative atoll
