id,name,level
MW-BA,Balaka,district
MW-BL,Blantyre,district
MW-C,Central Region,region
MW-CK,Chikwawa,district
MW-CR,Chiradzulu,district
MW-CT,Chitipa,district
MW-DE,Dedza,district
MW-DO,Dowa,district
MW-KR,Karonga,district
MW-KS,Kasungu,district
MW-LK,Likoma,district
MW-LI,Lilongwe,district
MW-MH,Machinga people,district
MW-MG,Mangochi,district
MW-MC,Mchinji,district
MW-MU,Mulanje,district
MW-MW,Mwanza,district
MW-MZ,Mzimba,district
MW-NE,Neno,district
MW-NB,Nkhata Bay,district
MW-NK,Nkhotakota,district
MW-N,Northern Region,region
MW-NS,Nsanje,district
MW-NU,Ntcheu,district
MW-NI,Ntchisi,district
MW-PH,Phalombe,district
MW-RU,Rumphi,district
MW-SA,Salima,district
MW-S,Southern Region,region
MW-TH,Thyolo,district
MW-ZO,Zomba,district
