id,name,level
MX-AGU,Aguascalientes,state
MX-BCN,Baja California,state
MX-BCS,Baja California Sur,state
MX-CAM,Campeche,state
MX-CHP,Chiapas,state
MX-CHH,Chihuahua,state
MX-COA,Coahuila,state
MX-COL,Colima,state
MX-DIF,Distrito Federal,federal district
MX-DUR,Durango,state
MX-GUA,Guanajuato,state
MX-GRO,Guerrero,state
MX-HID,Hidalgo,state
MX-JAL,Jalisco,state
MX-MIC,Michoacán,state
MX-MOR,Morelos,state
MX-MEX,Mexico,state
MX-NAY,Nayarit,state
MX-NLE,Nuevo León,state
MX-OAX,Oaxaca,state
MX-PUE,Puebla,state
MX-QUE,Querétaro,state
MX-ROO,Quintana Roo,state
MX-SLP,San Luis Potosí,state
MX-SIN,Sinaloa,state
MX-SON,Sonora,state
MX-TAB,Tabasco,state
MX-TAM,Tamaulipas,state
MX-TLA,Tlaxcala,state
MX-VER,Veracruz,state
MX-YUC,Yucatán,state
MX-ZAC,Zacatecas,state
