id,name,level
NG-AB,Abia,state
NG-FC,Federal Capital Territory,capital territory
NG-AD,Adamawa,state
NG-AK,Akwa Ibom State,state
NG-AN,Anambra State,state
NG-BA,Bauchi,state
NG-BY,Bayelsa State,state
NG-BE,Benue River,state
NG-BO,Borno,state
NG-CR,Cross River,state
NG-DE,Delta,state
NG-EB,Ebonyi State,state
NG-ED,Edo,state
NG-EK,Ekiti State,state
NG-EN,Enugu,state
NG-GO,Gombe,state
NG-IM,IMO,state
NG-JI,Jigawa State,state
NG-KD,Kaduna,state
NG-KN,Kano,state
NG-KT,Katsina,state
NG-KE,Kebbi State,state
NG-KO,Kogi State,state
NG-KW,Kwara,state
NG-LA,Lagos,state
NG-NA,Nasarawa State,state
NG-NI,Niger,state
NG-OG,Ogun,state
NG-ON,Ondo,state
NG-OS,Oshun,state
NG-OY,Oyo,state
NG-PL,Plateau,state
NG-RI,River,state
NG-SO,Sokoto,state
NG-TA,Taraba,state
NG-YO,Yobe State,state
NG-ZA,Zamfara State,state
