id,name,level
NL-AW,Aruba,country
NL-BQ1,Bonaire,special municipality
NL-CW,Curaçao,country
NL-DR,Drenthe,province
NL-FL,Flevoland,province
NL-FR,Friesland,province
NL-GE,Gelderland,province
NL-GR,Groningen,province
NL-LI,Limburg,province
NL-NB,North Brabant,province
NL-NH,North Holland,province
NL-OV,Overijssel,province
NL-BQ2,Saba,special municipality
NL-BQ3,Sint Eustatius,special municipality
NL-SX,Sint Maarten,country
NL-UT,Utrecht,province
NL-ZE,Zeeland,province
NL-ZH,South Holland,province
