id,name,level
NP-BA,Bagmati River,zone
NP-BH,Bheri,zone
NP-DH,Dhawalagiri,zone
NP-GA,Gandaki,zone
NP-JA,Janakpurdham,zone
NP-KA,Karnali,zone
NP-KO,Kosi,zone
NP-LU,Lumbini,zone
NP-2,Mid-Western Region,development regions
NP-1,Central Region,development regions
NP-MA,Mahakali,zone
NP-ME,Mechi Zone,zone
NP-NA,Narayani,zone
NP-3,Western Region,development regions
NP-4,Eastern Region,development regions
NP-RA,Rapti,zone
NP-SA,Sagarmatha,zone
NP-SE,Search for extraterrestrial intelligence,zone
NP-5,Far-Western Region,development regions
