id,name,level
NZ-AUK,Auckland,regional council
NZ-BOP,Bay of Plenty,regional council
NZ-CAN,Canterbury,regional council
NZ-CIT,Chatham Islands,special island authority
NZ-GIS,Gisborne Region,unitary authority
NZ-MWT,Manawatu-Wanganui Region,regional council
NZ-MBH,Marlborough Region,unitary authority
NZ-NSN,Nelson City,unitary authority
NZ-N,North Island,island
NZ-NTL,Northland,regional council
NZ-OTA,Otago Region,regional council
NZ-S,South Island,island
NZ-STL,Southland,regional council
NZ-TKI,Taranaki,regional council
NZ-TAS,Tasman Region,unitary authority
NZ-WKO,Waikato Region,regional council
NZ-WGN,Wellington,regional council
NZ-WTC,West Coast,regional council
