id,name,level
PG-NSB,Bougainville,autonomous region
PG-CPM,Central,province
PG-CPK,Chimbu,province
PG-EBR,East New Britain Province,province
PG-ESW,East Sepik Province,province
PG-EHG,Eastern Highlands,province
PG-EPW,Enga,province
PG-GPK,Gulf,province
PG-MPM,Madang,province
PG-MRL,Manus,province
PG-MBA,Milne Bay,province
PG-MPL,Morobe,province
PG-NCD,National Capital District,district
PG-NIK,New Ireland,province
PG-NSA,North Solomons,province
PG-NPP,Northern,province
PG-SAN,Sandaun,province
PG-SHM,Southern Highlands,province
PG-WBK,West New Britain Province,province
PG-WPD,Western,province
PG-WHM,Western Highlands,province
