id,name,level
PL-DS,Lower Silesian Voivodeship,voivodship
PL-KP,Kuyavian-Pomeranian Voivodeship,voivodship
PL-LU,Lublin Voivodeship,voivodship
PL-LB,Lubusz Voivodeship,voivodship
PL-LD,Lódzkie,voivodship
PL-MA,Lesser Poland Voivodeship,voivodship
PL-MZ,Masovian Voivodeship,voivodship
PL-OP,Opole Voivodeship,voivodship
PL-PK,Podkarpackie Voivodeship,voivodship
PL-PD,Podlaskie Voivodeship,voivodship
PL-PM,Pomeranian Voivodeship,voivodship
PL-SL,Silesian Voivodeship,voivodship
PL-SK,Świętokrzyskie Voivodeship,voivodship
PL-WN,Warmian-Masurian Voivodeship,voivodship
PL-WP,Greater Poland Voivodeship,voivodship
PL-ZP,West Pomeranian Voivodeship,voivodship
